arrival,cost,Service,Expiration
0.1,17.6485,Exponential,Exponential
0.1,17.566000000000003,Exponential,Exponential
0.1,17.7635,Exponential,Exponential
0.1,17.54,Exponential,Exponential
0.1,17.685499999999998,Exponential,Exponential
0.1,17.7945,Exponential,Exponential
0.1,17.686,Exponential,Exponential
0.1,17.6685,Exponential,Exponential
0.1,17.639,Exponential,Exponential
0.1,17.705,Exponential,Exponential
0.2,26.3205,Exponential,Exponential
0.2,26.3335,Exponential,Exponential
0.2,26.549,Exponential,Exponential
0.2,26.3445,Exponential,Exponential
0.2,26.645,Exponential,Exponential
0.2,26.455,Exponential,Exponential
0.2,26.712,Exponential,Exponential
0.2,26.5715,Exponential,Exponential
0.2,26.5435,Exponential,Exponential
0.2,26.588,Exponential,Exponential
0.3,33.9215,Exponential,Exponential
0.3,33.945,Exponential,Exponential
0.3,33.7735,Exponential,Exponential
0.3,33.8435,Exponential,Exponential
0.3,34.1295,Exponential,Exponential
0.3,33.926,Exponential,Exponential
0.3,33.9735,Exponential,Exponential
0.3,33.861000000000004,Exponential,Exponential
0.3,33.827,Exponential,Exponential
0.3,34.133,Exponential,Exponential
0.7,64.9455,Exponential,Exponential
0.7,65.13999999999999,Exponential,Exponential
0.7,63.88549999999999,Exponential,Exponential
0.7,64.4005,Exponential,Exponential
0.7,63.707,Exponential,Exponential
0.7,64.365,Exponential,Exponential
0.7,64.1245,Exponential,Exponential
0.7,64.077,Exponential,Exponential
0.7,64.239,Exponential,Exponential
0.7,63.5935,Exponential,Exponential
0.1,16.985500000000002,Exponential,Deterministic
0.1,16.9585,Exponential,Deterministic
0.1,17.1985,Exponential,Deterministic
0.1,17.124,Exponential,Deterministic
0.1,17.342,Exponential,Deterministic
0.1,17.1615,Exponential,Deterministic
0.1,17.104,Exponential,Deterministic
0.1,17.177500000000002,Exponential,Deterministic
0.1,17.049,Exponential,Deterministic
0.1,17.255499999999998,Exponential,Deterministic
0.2,26.446,Exponential,Deterministic
0.2,26.3455,Exponential,Deterministic
0.2,26.734,Exponential,Deterministic
0.2,26.503,Exponential,Deterministic
0.2,26.4165,Exponential,Deterministic
0.2,26.564,Exponential,Deterministic
0.2,26.458,Exponential,Deterministic
0.2,26.4935,Exponential,Deterministic
0.2,26.368,Exponential,Deterministic
0.2,26.667,Exponential,Deterministic
0.3,35.4165,Exponential,Deterministic
0.3,35.271,Exponential,Deterministic
0.3,34.918,Exponential,Deterministic
0.3,34.955,Exponential,Deterministic
0.3,34.7185,Exponential,Deterministic
0.3,34.8735,Exponential,Deterministic
0.3,35.414,Exponential,Deterministic
0.3,35.09,Exponential,Deterministic
0.3,35.2205,Exponential,Deterministic
0.3,35.1355,Exponential,Deterministic
0.7,50.447,Exponential,Deterministic
0.7,50.5965,Exponential,Deterministic
0.7,50.449,Exponential,Deterministic
0.7,50.5885,Exponential,Deterministic
0.7,50.5455,Exponential,Deterministic
0.7,50.613,Exponential,Deterministic
0.7,50.54,Exponential,Deterministic
0.7,50.4455,Exponential,Deterministic
0.7,50.4255,Exponential,Deterministic
0.7,50.558,Exponential,Deterministic
0.1,12.678999999999998,Pareto,Exponential
0.1,12.6065,Pareto,Exponential
0.1,12.706,Pareto,Exponential
0.1,12.6365,Pareto,Exponential
0.1,12.7145,Pareto,Exponential
0.1,12.692,Pareto,Exponential
0.1,12.672,Pareto,Exponential
0.1,12.6625,Pareto,Exponential
0.1,12.624,Pareto,Exponential
0.1,12.7455,Pareto,Exponential
0.2,17.8555,Pareto,Exponential
0.2,17.7885,Pareto,Exponential
0.2,17.9405,Pareto,Exponential
0.2,17.715,Pareto,Exponential
0.2,17.8515,Pareto,Exponential
0.2,17.822,Pareto,Exponential
0.2,17.7505,Pareto,Exponential
0.2,17.766,Pareto,Exponential
0.2,17.8315,Pareto,Exponential
0.2,17.922,Pareto,Exponential
0.3,22.3255,Pareto,Exponential
0.3,22.1635,Pareto,Exponential
0.3,22.275,Pareto,Exponential
0.3,22.1235,Pareto,Exponential
0.3,22.433,Pareto,Exponential
0.3,22.05,Pareto,Exponential
0.3,22.172,Pareto,Exponential
0.3,22.081000000000003,Pareto,Exponential
0.3,22.171,Pareto,Exponential
0.3,22.4795,Pareto,Exponential
0.7,38.7245,Pareto,Exponential
0.7,38.538,Pareto,Exponential
0.7,38.4585,Pareto,Exponential
0.7,38.8945,Pareto,Exponential
0.7,39.5555,Pareto,Exponential
0.7,38.839,Pareto,Exponential
0.7,39.411,Pareto,Exponential
0.7,39.3385,Pareto,Exponential
0.7,38.1565,Pareto,Exponential
0.7,39.138,Pareto,Exponential
0.1,12.5025,Pareto,Deterministic
0.1,12.432,Pareto,Deterministic
0.1,12.5635,Pareto,Deterministic
0.1,12.4775,Pareto,Deterministic
0.1,12.51,Pareto,Deterministic
0.1,12.4865,Pareto,Deterministic
0.1,12.2905,Pareto,Deterministic
0.1,12.4375,Pareto,Deterministic
0.1,12.386,Pareto,Deterministic
0.1,12.543,Pareto,Deterministic
0.2,18.247,Pareto,Deterministic
0.2,18.2205,Pareto,Deterministic
0.2,18.448,Pareto,Deterministic
0.2,18.097,Pareto,Deterministic
0.2,18.1085,Pareto,Deterministic
0.2,18.2285,Pareto,Deterministic
0.2,18.19,Pareto,Deterministic
0.2,18.214,Pareto,Deterministic
0.2,18.284,Pareto,Deterministic
0.2,18.1335,Pareto,Deterministic
0.3,22.705,Pareto,Deterministic
0.3,22.7005,Pareto,Deterministic
0.3,22.572,Pareto,Deterministic
0.3,22.5335,Pareto,Deterministic
0.3,22.744,Pareto,Deterministic
0.3,22.821,Pareto,Deterministic
0.3,22.559,Pareto,Deterministic
0.3,22.4035,Pareto,Deterministic
0.3,22.861,Pareto,Deterministic
0.3,22.661,Pareto,Deterministic
0.7,38.9825,Pareto,Deterministic
0.7,39.766000000000005,Pareto,Deterministic
0.7,39.003,Pareto,Deterministic
0.7,40.0035,Pareto,Deterministic
0.7,39.4285,Pareto,Deterministic
0.7,39.4755,Pareto,Deterministic
0.7,38.9755,Pareto,Deterministic
0.7,39.529,Pareto,Deterministic
0.7,39.124,Pareto,Deterministic
0.7,39.527,Pareto,Deterministic
